Group_Hypothesis,Sub_Hypothesis,Description,Expression
Carry Trade,Currency Correlation Decay,Carry trades benefit from a weakening correlation between the high-yield and low-yield currencies.,"Signal = 1 - Correlation(High_Yield_Currency, Low_Yield_Currency)"
Carry Trade,Forward Premium Reversion,A negative forward premium on the high-yield currency predicts positive carry trade returns.,Signal = -Forward_Premium(High_Yield_Currency)
Carry Trade,Low-Yield Currency Weakness,A weakening trend in the low-yield currency enhances carry trade returns.,"Signal = -SMA(Low_Yield_Currency_Price, 20)"
Carry Trade,Liquidity Increase,Increased liquidity in the high-yield currency market improves carry trade profitability.,Signal = Avg_Daily_Volume(High_Yield_Currency)
Carry Trade,Economic Growth Differential,Faster economic growth in the high-yield currency's country will reinforce its carry trade appeal.,Signal = InterestRateDifferential * (GDPGrowth_CurrencyA - GDPGrowth_CurrencyB)
Bear Market,Defensive Sector Allocation,"Defensive sectors (e.g., consumer staples) will outperform in a bear market.","Signal = Weight_Defensive - Average_Sector_Weight; BUY if Signal > 0, SELL otherwise"
Earnings Surprises and Post-Announcement Drift,Negative Surprise P/E Compression,"Stocks missing earnings expectations will see a temporary P/E ratio compression, followed by a rebound.",Signal = (Pre-earnings P/E - Post-earnings P/E) / Pre-earnings P/E; if Signal > 0.1 and Actual EPS < Expected EPS then Position = Long; else Position = 0
Earnings Surprises,Negative Surprise Volatility,Increased volatility following a negative earnings surprise predicts further price declines.,Signal = StdDev(Price[t:t+5]) / Mean(Price[t:t+5]) * (EPS_Surprise/|EPS_Surprise|) * (-1)
Low Liquidity Exploitation,Extreme P/E Ratio Reversion,Illiquid assets with extremely high or low P/E ratios relative to their historical averages tend to revert towards the mean.,Signal = (P/E_t - Average(P/E_(t-n):P/E_(t-1))) / StdDev(P/E_(t-n):P/E_(t-1)) where n is a suitable lookback period
Earnings Surprise,Revenue Surprise Strength,Stocks exceeding revenue expectations by a larger margin exhibit stronger post-earnings price movement.,Signal = (Actual Revenue - Expected Revenue) / Expected Revenue
Post-Earnings Volatility,High Volatility Reversion,Stocks experiencing high volatility after earnings announcements tend to revert to the mean within three days.,Signal = -1 * Average(daily volatility over 3 days post-earnings)
Pre-Earnings Price Action,Pre-Earnings Run-Up Reversal,Stocks with significant price increases in the week leading up to earnings tend to underperform afterward.,Signal = -1 * (Price_before - Price_a_week_before) / Price_a_week_before
Earnings Guidance,Conservative Guidance Outperformance,Stocks providing conservative earnings guidance (lower than expected) relative to actual results will outperform.,Signal = (Guidance - EPS_Actual) / EPS_Actual; if Signal < 0 then Higher absolute value => Stronger BUY
P/E Ratio Adjustment,P/E Multiple Compression,Stocks with a high P/E ratio before earnings tend to experience P/E compression following negative surprises.,"Signal = -1 * (P/E_post_earnings - P/E_pre_earnings) / P/E_pre_earnings if EPS surprise < 0, else 0"
Volatility Clustering,Autoregressive Volatility,Higher recent volatility predicts higher future volatility.,signal = sum(abs(return_i) for i in range(lookback_period))
Volatility Clustering,EWMA Volatility,An exponentially weighted moving average of squared returns predicts future volatility.,"volatility = EWMA(squared_returns, lambda)"
Volatility Clustering,P/E Ratio Volatility Interaction,High P/E ratio stocks exhibit increased volatility clustering.,signal = volatility * P/E_ratio
Correlation Exploiting,Short-Term Volatility Correlation Breakdown,Assets with high historical correlation but experiencing a significant divergence in short-term volatility will show a weakening correlation.,"signal = historical_correlation(AssetA, AssetB) - abs(volatility(AssetA_Price[t-1:t]) - volatility(AssetB_Price[t-1:t]))"
Correlation Exploiting,Macroeconomic Event Correlation Impact,A macroeconomic event will temporarily alter the correlation of assets historically positively correlated.,"signal = historical_correlation(AssetA, AssetB) - Macroeconomic_Impact_Score[t]"
Correlation Exploiting,Regression to the Mean Correlation,Correlation coefficients that deviate significantly from their long-term average will revert towards that average.,"signal =  long_term_avg_correlation(AssetA, AssetB) - corr(AssetA_Price[t-n:t], AssetB_Price[t-n:t])"
Correlation Exploiting,Sector Rotation Correlation Adjustment,Changes in sector performance will influence the correlation between assets within those sectors.,"signal = historical_correlation(AssetA, AssetB) - (Sector_Performance_A[t] - Sector_Performance_B[t])"
Correlation Exploiting,Liquidity-Driven Correlation Shift,"A sudden decrease in liquidity of one asset, coupled with a historically high correlation to another, predicts a temporary weakening of the correlation.",signal = (liquidity_change_assetA * correlation_30d) if liquidity_change_assetA < -threshold else 0
Inflation,Inflation-Growth Differential,A widening gap between inflation and economic growth negatively impacts market sentiment.,Signal = InflationRate - GDPGrowthRate
Inflation,Inflation Breakeven Rate,Changes in the inflation breakeven rate predict shifts in investor inflation expectations and bond yields.,Signal = Change(InflationBreakevenRate)
Inflation,CPI Momentum,A rising year-over-year CPI growth rate predicts higher future inflation-sensitive asset returns.,Signal = CPI_YoY(t) - CPI_YoY(t-1)
Interest Rates,Interest Rate Surprise,Unexpected changes in interest rates relative to market expectations impact asset prices.,Signal = (ActualInterestRate - ExpectedInterestRate) / ExpectedInterestRate
Interest Rates,Inverted Yield Curve,An inverted yield curve (short-term yields exceeding long-term yields) predicts an upcoming recession.,Signal = 1 if Short_Term_Bond_Yield(t) > Long_Term_Bond_Yield(t) else 0
Interest Rates,Fed Funds Rate Changes,Changes in the federal funds rate impact borrowing costs and asset valuations.,Signal = Change(FedFundsRate)
Volume Anomaly,Volume Breakout Confirmation,"A significant volume spike above a 20-day moving average, followed by a price increase exceeding a pre-determined threshold, indicates a likely continued price rise.","Signal = 1 if (Volume[t] > 2 * MA(Volume, 20) AND Price[t+1] > Price[t] * 1.01) else 0"
Volume Anomaly,High Volume Low Volatility,Stocks exhibiting high volume but low price volatility relative to their historical average suggest an upcoming price break.,Signal = 1 if (Volume[t] > 2 * Avg(Volume[t-20:t-1]) AND Volatility[t] < 0.5 * Avg(Volatility[t-60:t-1])) else 0
Volume Anomaly,Negative Sentiment Volume Surge,A large volume increase accompanied by negative sentiment indicates potential short-covering.,signal = (Volume[t] > 3 * avg(Volume[t-20:t-1])) && (Sentiment[t] < -0.5) ? 1 : -1
Volume Anomaly,Volume-Correlation,"A high correlation between volume and price changes in a short time window (e.g., 1 hour) suggests momentum is strong.","Signal = Correlation(Volume[t-60:t], PriceChange[t-60:t])"
Volume Anomaly,Gap Up Volume,A significant volume increase on a day with a gap up in price suggests continued upward momentum.,Signal = 1 if (Volume[t] > 2 * Avg(Volume[t-20:t-1]) AND GapUp[t] > 0.01) else 0
Volume Anomaly,Low P/E Volume Spike,A high volume surge on a stock with a low P/E ratio suggests potential value buying.,Signal = 1 if (Volume[t] > 3 * Avg(Volume[t-20:t-1]) AND P/E[t] < 10) else 0
Volume Anomaly,Volume Trend Change,A change in the volume trend (from increasing to decreasing or vice versa) signals a potential price reversal.,Signal = -1 IF (Volume_t < Volume_{t-1} AND Volume_{t-1} > Volume_{t-2}) ELSE Signal = 1 IF (Volume_t > Volume_{t-1} AND Volume_{t-1} < Volume_{t-2}) ELSE Signal = 0
Short-Term Reversal,Mean Reversion of Daily Returns,Stocks with the lowest average daily return over the past 10 days will have higher returns over the next 2 days.,"Signal = Rank( -AVG(DailyReturn, {t-10, ..., t-1})) "
Short-Term Reversal,Short-Term Correlation Reversal,Stocks with the lowest correlation to a benchmark index over the past 3 days are expected to show higher returns than the highest correlated stocks over the next day.,"Signal = -Rank(Correlation(Price, Benchmark, 3 days))"
Size Effect: Smaller Cap Outperformance,High Volume Turnaround,Smaller cap stocks experiencing a surge in trading volume after a period of low volume are likely to outperform.,Signal = (Volume[t] / avg(Volume[t-20:t-1])) * (Price[t]/Price[t-1])
Earnings Surprise,Post-Earnings Rebound,Stocks that experience a negative earnings surprise will rebound within three days.,Signal = 1 if (Actual EPS < Expected EPS) & (Price_t+3 > Price_t); Signal = 0 otherwise
Earnings Surprise,Negative Surprise Volume Spike,Stocks experiencing negative earnings surprises with unusually high trading volume will underperform in the following week.,Signal = (Volume_t / AvgVolume_20) * (EPS_actual - EPS_estimate) / EPS_estimate where AvgVolume_20 is the 20-day average volume
Guidance,Upward Guidance Effect,Stocks with positive upward guidance revisions will outperform the market in the next month.,Signal = 1 if (Guidance_t > Guidance_t-1); Signal = 0 otherwise
P/E Ratio,P/E Ratio and Earnings Surprise,Stocks with low P/E ratios that beat earnings expectations will show stronger returns.,Signal = (Actual EPS - Expected EPS) / PE_ratio_t-1
Momentum,Relative Strength Index (RSI) Momentum,Assets with RSI above 70 and increasing will continue to outperform.,Signal = RSI[t] > 70 AND RSI[t] > RSI[t-1] ? 1 : 0
Volatility,Average True Range (ATR) Breakout,A significant increase in ATR coupled with price breakout signals increased volatility and potential trading opportunities.,"signal = (ATR(14) - SMA(ATR(14),20)) / SMA(ATR(14),20) * (Price - SMA(Price,20)) / SMA(Price,20)"
Mean Reversion,Gap Reversion,Stocks that gap significantly up or down tend to partially fill the gap within a few days.,signal = gap_size / average_daily_range
Momentum,Low Correlation Momentum,Assets with low correlation to the market index in the past 10 days but showing positive momentum will outperform.,"Signal = Rank(Momentum * (1-Correlation(Asset, MarketIndex, 10)))"
Momentum,5-Day Moving Average Slope,Assets with a steep positive slope of their 5-day moving average will exhibit continued upward momentum.,"Signal = Rank(Slope(MA(Close, 5), 5))"
Undervalued Assets Outperformance,Growth-at-a-Reasonable-Price,Companies showing strong earnings growth but trading at relatively low P/E ratios will outperform.,Signal = (EarningsGrowthRate / Stock_PE)
Low Volatility,Low Volatility Dividend,Low volatility stocks with high dividend yields will provide superior risk-adjusted returns.,signal = dividend_yield_t if stddev(price_t-120:price_t) < threshold else 0
Low Volatility Alpha,Option Implied Volatility Spread,Low volatility stocks with a large difference between their implied volatility and historical volatility will offer higher risk-adjusted returns.,Signal = Implied_Volatility - Historical_Volatility
Seasonality: Asset returns exhibit predictable patterns based on the time of year.,Earnings Season Effect,Higher volatility and returns are observed during earnings announcement periods.,Signal = Standard Deviation of Daily Returns during Earnings Season / Standard Deviation of Daily Returns (Year)
Seasonality: Asset returns exhibit predictable patterns based on the time of year.,Pre-Election Rally,Positive returns tend to occur in the months leading up to a US presidential election.,Signal = Average Monthly Return (12 Months before US Presidential Election)
News Sentiment Impact on Stock Price,P/E Ratio and Sentiment,High P/E ratios are more sensitive to negative sentiment shifts.,Signal = P/E * (1 - Sentiment)
News Sentiment and Short-Term Reversion,Sentiment Mean Reversion,Extreme positive sentiment leads to short-term price corrections.,"Signal = 1 - Sentiment_Score / Max(Sentiment_Score, 10 days)"
